# timestep mean_visual_torque mean_align_torque std_visual_torque std_align_torque
2044000.000000 0.079099 0.210648 0.073109 0.152738
2051000.000000 0.081913 0.215024 0.073736 0.156076
2058000.000000 0.081095 0.202207 0.072246 0.145216
2065000.000000 0.077426 0.213647 0.072230 0.156867
2072000.000000 0.077477 0.216068 0.070359 0.151074
2079000.000000 0.076032 0.209951 0.066073 0.157020
2086000.000000 0.079238 0.210575 0.067694 0.160714
2093000.000000 0.078517 0.203393 0.067031 0.153079
2100000.000000 0.080849 0.205950 0.073285 0.149740
2107000.000000 0.074980 0.210752 0.070686 0.152524
2114000.000000 0.075453 0.217486 0.063495 0.159536
2121000.000000 0.073495 0.215219 0.063729 0.151985
2128000.000000 0.076684 0.199591 0.066675 0.153339
2135000.000000 0.078910 0.212455 0.066064 0.154982
2142000.000000 0.085217 0.212137 0.073191 0.151142
2149000.000000 0.075905 0.211333 0.072562 0.157669
2156000.000000 0.083314 0.206766 0.072914 0.159178
2163000.000000 0.079724 0.215692 0.071221 0.154467
2170000.000000 0.077866 0.208957 0.068554 0.154766
2177000.000000 0.078768 0.206669 0.071416 0.159802
2184000.000000 0.076753 0.210732 0.067998 0.158498
2191000.000000 0.080271 0.209989 0.071359 0.154093
2198000.000000 0.081794 0.207163 0.071774 0.152042
2205000.000000 0.081858 0.219075 0.071524 0.157867
2212000.000000 0.077594 0.199384 0.066211 0.151277
2219000.000000 0.080690 0.211544 0.067650 0.159661
2226000.000000 0.084067 0.223240 0.075281 0.155764
2233000.000000 0.080221 0.202749 0.069253 0.148162
2240000.000000 0.075627 0.207443 0.065925 0.157528
2247000.000000 0.079757 0.215139 0.070195 0.156392
2254000.000000 0.076876 0.218394 0.067349 0.158670
2261000.000000 0.084224 0.213589 0.078083 0.155335
2268000.000000 0.078611 0.214294 0.068018 0.151424
2275000.000000 0.080463 0.204328 0.072513 0.156478
2282000.000000 0.081363 0.207237 0.074330 0.148172
2289000.000000 0.082270 0.210020 0.071747 0.154501
2296000.000000 0.079789 0.211851 0.070149 0.157029
2303000.000000 0.074645 0.210744 0.069729 0.153227
2310000.000000 0.076327 0.220980 0.068897 0.160194
2317000.000000 0.078337 0.210505 0.067398 0.157371
2324000.000000 0.084164 0.224628 0.071442 0.162818
2331000.000000 0.082133 0.206578 0.073200 0.148071
2338000.000000 0.081927 0.216565 0.076409 0.158986
2345000.000000 0.089136 0.221285 0.081967 0.160237
2352000.000000 0.081087 0.217801 0.069034 0.152830
2359000.000000 0.082739 0.200457 0.073829 0.148054
2366000.000000 0.085560 0.217978 0.078768 0.152806
2373000.000000 0.078756 0.219289 0.069720 0.155252
2380000.000000 0.078571 0.216381 0.070345 0.153944
2387000.000000 0.079213 0.215917 0.069080 0.160606
2394000.000000 0.080119 0.202342 0.069351 0.156873
2401000.000000 0.083964 0.203495 0.073635 0.154052
2408000.000000 0.082860 0.224435 0.074948 0.163864
2415000.000000 0.075051 0.208455 0.068247 0.156972
2422000.000000 0.077123 0.218190 0.069687 0.153279
2429000.000000 0.075000 0.211886 0.068312 0.164493
2436000.000000 0.075889 0.225677 0.066494 0.164672
2443000.000000 0.077504 0.208549 0.070160 0.154293
2450000.000000 0.081640 0.196771 0.070526 0.144708
2457000.000000 0.082858 0.217270 0.073840 0.158716
2464000.000000 0.079306 0.210416 0.069110 0.154506
2471000.000000 0.080910 0.210391 0.072794 0.156696
2478000.000000 0.074775 0.210553 0.066749 0.155105
2485000.000000 0.084598 0.213097 0.069020 0.151865
2492000.000000 0.079910 0.214484 0.067593 0.159727
2499000.000000 0.083182 0.222337 0.071018 0.169095
2506000.000000 0.079648 0.207704 0.071463 0.156754
2513000.000000 0.078041 0.213415 0.070859 0.154258
2520000.000000 0.079792 0.202822 0.069040 0.149519
2527000.000000 0.085899 0.209795 0.076449 0.157392
2534000.000000 0.082934 0.214108 0.077451 0.155831
2541000.000000 0.086387 0.215725 0.082317 0.160013
2548000.000000 0.082414 0.206613 0.070875 0.148873
2555000.000000 0.076632 0.202763 0.067282 0.146699
2562000.000000 0.083962 0.213324 0.071031 0.146615
2569000.000000 0.084301 0.209659 0.077138 0.166172
2576000.000000 0.081084 0.214946 0.077535 0.156673
2583000.000000 0.082022 0.214720 0.071419 0.159273
2590000.000000 0.078760 0.210729 0.073010 0.149845
2597000.000000 0.078490 0.208182 0.064376 0.150980
2604000.000000 0.078452 0.207834 0.066779 0.155305
2611000.000000 0.083454 0.208811 0.076761 0.159475
2618000.000000 0.079736 0.210168 0.066667 0.149781
2625000.000000 0.074689 0.211264 0.063087 0.158136
2632000.000000 0.076303 0.204728 0.068375 0.150468
2639000.000000 0.081206 0.210597 0.077191 0.158191
2646000.000000 0.082188 0.213797 0.074478 0.156478
2653000.000000 0.083798 0.203466 0.072800 0.155371
2660000.000000 0.086541 0.208963 0.076897 0.149174
2667000.000000 0.081753 0.209862 0.071227 0.157124
2674000.000000 0.085560 0.218538 0.075850 0.156442
2681000.000000 0.080217 0.193386 0.067899 0.148580
2688000.000000 0.083949 0.213837 0.074948 0.160378
2695000.000000 0.080849 0.218006 0.073191 0.156949
2702000.000000 0.080195 0.209660 0.073088 0.154320
2709000.000000 0.094829 0.203526 0.082060 0.159952
2716000.000000 0.088023 0.208017 0.076902 0.151874
2723000.000000 0.083172 0.210287 0.070572 0.150131
2730000.000000 0.084636 0.201076 0.077377 0.154413
2737000.000000 0.086241 0.213791 0.076537 0.155276
