# timestep mean_visual_torque mean_align_torque std_visual_torque std_align_torque
1645000.000000 0.068910 0.213951 0.064227 0.156619
1650000.000000 0.063975 0.192538 0.059935 0.149041
1655000.000000 0.070139 0.210037 0.067059 0.159297
1660000.000000 0.064983 0.203668 0.060059 0.153460
1665000.000000 0.064338 0.213270 0.066013 0.150787
1670000.000000 0.066640 0.225558 0.063175 0.162444
1675000.000000 0.069283 0.212958 0.059720 0.151803
1680000.000000 0.068061 0.213943 0.065493 0.152370
1685000.000000 0.070778 0.214081 0.065812 0.163862
1690000.000000 0.063693 0.207090 0.058377 0.157130
1695000.000000 0.068295 0.213946 0.063632 0.161301
1700000.000000 0.069321 0.205140 0.064575 0.154342
1705000.000000 0.071071 0.200995 0.068271 0.149087
1710000.000000 0.066962 0.199906 0.061057 0.148677
1715000.000000 0.068075 0.212287 0.064234 0.155111
1720000.000000 0.065767 0.217473 0.063497 0.159455
1725000.000000 0.062641 0.207620 0.060000 0.154454
1730000.000000 0.066690 0.220906 0.063361 0.155838
1735000.000000 0.065662 0.200269 0.061218 0.153100
1740000.000000 0.068405 0.226627 0.064808 0.157204
1745000.000000 0.067469 0.203644 0.061480 0.149879
1750000.000000 0.066446 0.210446 0.064658 0.151978
1755000.000000 0.066948 0.206894 0.059993 0.154787
1760000.000000 0.068890 0.210878 0.067695 0.158165
1765000.000000 0.070498 0.214410 0.066826 0.159654
1770000.000000 0.069270 0.213605 0.061425 0.155288
1775000.000000 0.069559 0.201146 0.073291 0.148454
1780000.000000 0.070947 0.212694 0.064888 0.157938
1785000.000000 0.067316 0.208211 0.065250 0.151406
1790000.000000 0.067262 0.207870 0.061989 0.157804
1795000.000000 0.066623 0.210650 0.062711 0.156172
1800000.000000 0.066807 0.214293 0.061647 0.157310
1805000.000000 0.062547 0.209097 0.054909 0.150636
1810000.000000 0.067567 0.204677 0.060750 0.150913
1815000.000000 0.065832 0.199932 0.061027 0.146216
1820000.000000 0.068864 0.214614 0.061669 0.157248
1825000.000000 0.065885 0.201545 0.061085 0.151607
1830000.000000 0.062364 0.225529 0.058020 0.158471
1835000.000000 0.067309 0.212351 0.061183 0.148272
1840000.000000 0.073346 0.212202 0.065926 0.154449
1845000.000000 0.062731 0.214265 0.057711 0.150504
1850000.000000 0.075614 0.211790 0.070710 0.150553
1855000.000000 0.065085 0.200811 0.059897 0.145562
1860000.000000 0.059938 0.212561 0.056876 0.153131
1865000.000000 0.062881 0.208896 0.056803 0.150387
1870000.000000 0.064989 0.199073 0.058226 0.144174
1875000.000000 0.066469 0.226883 0.060871 0.160551
1880000.000000 0.064161 0.216073 0.059188 0.156077
1885000.000000 0.064002 0.212678 0.055792 0.149919
1890000.000000 0.062616 0.213899 0.056645 0.157062
1895000.000000 0.062323 0.206124 0.058711 0.156075
1900000.000000 0.067158 0.212442 0.061954 0.154009
1905000.000000 0.067492 0.209008 0.061528 0.154890
1910000.000000 0.064794 0.205496 0.056110 0.147686
1915000.000000 0.068324 0.211622 0.062414 0.157639
1920000.000000 0.067169 0.223955 0.061029 0.164462
1925000.000000 0.067695 0.212431 0.059813 0.153427
1930000.000000 0.063328 0.213563 0.057256 0.153963
1935000.000000 0.063721 0.197669 0.058281 0.144865
1940000.000000 0.068021 0.220946 0.060716 0.159757
1945000.000000 0.061546 0.218760 0.054996 0.162266
1950000.000000 0.068276 0.208467 0.061718 0.156479
1955000.000000 0.071711 0.216270 0.066317 0.154973
1960000.000000 0.071064 0.213584 0.066300 0.154404
1965000.000000 0.070537 0.197363 0.069015 0.151482
1970000.000000 0.066394 0.209500 0.058586 0.152572
1975000.000000 0.068666 0.210270 0.065619 0.153632
1980000.000000 0.063344 0.206307 0.061976 0.159315
1985000.000000 0.071553 0.227566 0.064438 0.155623
1990000.000000 0.067138 0.215267 0.062320 0.156163
1995000.000000 0.062874 0.209951 0.056623 0.162203
2000000.000000 0.070085 0.207498 0.063905 0.153705
2005000.000000 0.071035 0.218134 0.065253 0.154323
2010000.000000 0.069613 0.209982 0.066067 0.157135
2015000.000000 0.065854 0.210604 0.060847 0.155830
